Армійський в’їзд;240;f
Арсенальна вулиця;241;f
Артільна вулиця;242;f
Артільний провулок;243;f
Артема вулиця;244;f
Артилерійська вулиця;245;f
Артилерійський провулок;246;f
Артюхівська вулиця;247;f
Диспетчерський в’їзд;248;f
Архангельська вулиця;249;f
Архангельський провулок;250;f
Архітекторів вулиця;251;f
Аскольдівська вулиця;252;f
Астраханська вулиця;253;f
Астрономічна вулиця;254;f
Афанасіївська вулиця;255;f
Афанасіївський провулок;256;f
Ахсарова вулиця;257;f
Ашхабадська вулиця;258;f
Ашхабадський провулок;259;f
Аеродромна вулиця;260;f
Аеродромний провулок;261;f
Аеропортна вулиця;262;f
Аеропортний провулок;263;f
Аерофлотська вулиця;264;f
Бабушкіна вулиця;265;f
Баварська вулиця;266;f
Баварський провулок;267;f
Багратіона провулок;268;f
Багратіона в’їзд;269;f
Багратіона вулиця;270;f
Бадаєва провулок;271;f
Бажова вулиця;272;f
Базарна вулиця;273;f
Базарна вулиця;274;f
Байдарська вулиця;275;f
Байкальська вулиця;276;f
Байкальський провулок;277;f
Байрона провулок;278;f
Бакинська вулиця;279;f
Бакинських Комісарів вулиця;280;f
Бакуліна вулиця;281;f
Бакуліна вулиця;282;f
Бакуніна вулиця;283;f
Балакірєва в’їзд;284;f
Балакірєва вулиця;285;f
Балаклавський провулок;286;f
Балаклійська вулиця;287;f
Балаклійський провулок;288;f
Балашовський провулок;289;f
Балканська вулиця;290;f
Балтійська вулиця;291;f
Балхаська вулиця;292;f
Балхаський провулок;293;f
Банківський провулок;294;f
Банний провулок;295;f
Барабашова вулиця;296;f
Анрі Барбюса вулиця;297;f
Барвінківська вулиця;298;f
Барвінківський провулок;299;f
Барнаульська вулиця;300;f
Барикадна вулиця;301;f
Барикадний провулок;302;f
Басейна вулиця;303;f
Батайська вулиця;304;f
Батумська вулиця;305;f
Батуринська вулиця;306;f
Бауманська вулиця;307;f
Башваєвський провулок;308;f
Башкирська вулиця;309;f
Башкирський провулок;310;f
Безлюдівська вулиця;311;f
Безіменна вулиця;312;f
Бекетова вулиця;313;f
Бєлінського вулиця;314;f
Бєлінського провулок;315;f
Білобровський провулок;316;f
Біловезька вулиця;317;f
Білогірська вулиця;318;f
Білгородський узвіз;319;f
Білгородське шосе;320;f
Біломорська вулиця;321;f
Білоруська вулиця;322;f
Білостоцький провулок;323;f
Березівська вулиця;324;f
Березівський в’їзд;325;f
Берестова вулиця;326;f
Безкрайня вулиця;327;f
Безпалівський в’їзд;328;f
Безпалівський провулок;329;f
Бесарабська вулиця;330;f
Бестужева в’їзд;331;f
Бестужева вулиця;332;f
Бестужевський провулок;333;f
Бетховена провулок;334;f
Бехтерєва провулок;335;f
Біологічна вулиця;336;f
Біологічний в’їзд;337;f
Біологічний провулок;338;f
Бирюківська вулиця;339;f
Благодатна вулиця;340;f
Блискучий провулок;341;f
Близнюківська вулиця;342;f
Блюхера вулиця;343;f
Бобруйська вулиця;344;f
Хмельницького Богдана бульвар;345;f
Хмельницького Богдана вулиця;346;f
