trans_id,lang,translation
Konovaltsia,ru,Коновальца
Konovaltsia,uk,Коновальця
Kopernyka,en,Kopernyka
Kopernyka,ru,Коперника
Kopernyka,uk,Коперника
Kopytynskoho,en,Kopytynskoho
Kopytynskoho,ru,Копистинского
Kopytynskoho,uk,Копистинського
Korduby,en,Korduby
Korduby,ru,Кордубы
Korduby,uk,Кордуби
Korduby-King Сross,en,Korduby-King Сross
Korduby-King Сross,ru,Кордубы-King Сross
Korduby-King Сross,uk,Кордуби-King Сross
Koreiska,en,Koreiska
Koreiska,ru,Корейська
Koreiska,uk,Корейська
Kotyka,en,Kotyka
Kotyka,ru,Котика
Kotyka,uk,Котика
Kovelska,en,Kovelska
Kovelska,ru,Ковельська
Kovelska,uk,Ковельська
Kovelska-Subotivska,en,Kovelska-Subotivska
Kovelska-Subotivska,ru,Ковельска-Субботовская
Kovelska-Subotivska,uk,Ковельська-Суботівська
Kozelnytska,en,Kozelnytska
Kozelnytska,ru,Козельницкая
Kozelnytska,uk,Козельницька
Kropyvnytskogo,en,Kropyvnytskogo
Kropyvnytskogo,ru,Кропивницкого
Kropyvnytskogo,uk,Кропивницького
Kropyvnytskoho sqr,en,Kropyvnytskoho sqr.
Kropyvnytskoho sqr,ru,Площадь Кропивницкого
Kropyvnytskoho sqr,uk,Площа Кропивницького 
Kruhla,en,Kruhla
Kruhla,ru,Кругла
Kruhla,uk,Кругла
Krychevskoho,en,Krychevskoho
Krychevskoho,ru,Кричевского
Krychevskoho,uk,Кричевського
Krymska,en,Krymska
Krymska,ru,Крымская
Krymska,uk,Кримська
Krypzavod,en,Krypzavod
Krypzavod,ru,Крупзавод
Krypzavod,uk,Крупзавод
Kryvchytska doroha,en,Kryvchytska doroha
Kryvchytska doroha,ru,Крывчицкая дорога
Kryvchytska doroha,uk,Кривчицька Дорога
Kryvonosa,en,Kryvonosa
Kryvonosa,ru,Крывоноса
Kryvonosa,uk,Кривоноса
Kulchytskoi,en,Kulchytskoi
Kulchytskoi,ru,Кульчицкой
Kulchytskoi,uk,Кульчицької
Kulisha,en,Kulisha
Kulisha,ru,Кулиша
Kulisha,uk,Куліша
Kulparkiv,en,Kulparkiv
Kulparkiv,ru,Кульпарков
Kulparkiv,uk,Кульпарків
Kulparkivska,en,Kulparkivska
Kulparkivska,ru,Кульпарковская
Kulparkivska,uk,Кульпарківська
Kulykivska,en,Kulykivska
Kulykivska,ru,Кулыковская
Kulykivska,uk,Куликівська
Kurortna,en,Kurortna
Kurortna,ru,Курортная
Kurortna,uk,Курортна
Kyivska,en,Kyivska
Kyivska,ru,Киевская
Kyivska,uk,Київська
Lavrivskoho,en,Lavrivskoho
Lavrivskoho,ru,Лавривского
Lavrivskoho,uk,Лаврівського
Lenona,en,Lenona
Lenona,ru,Ленона
Lenona,uk,Ленона
Levandivska-Shyroka,en,Levandivska-Shyroka
Levandivska-Shyroka,ru,Левандовская-Широкая
Levandivska-Shyroka,uk,Левандівська-Широка
Levytskoho str,en,Levytskoho str
Levytskoho str,ru,Левицкого
Levytskoho str,uk,Левицького
Likarnia No. 5 (Hospital No.5),en,Hospital No.5
Likarnia No. 5 (Hospital No.5),ru,5-я городская больница
Likarnia No. 5 (Hospital No.5),uk,5-та міська лікарня
Likarnia No. 8 (Hospital No.8),en,Hospital No.8
Likarnia No. 8 (Hospital No.8),ru,Больница № 8
Likarnia No. 8 (Hospital No.8),uk,Лікарня № 8
Linkolna,en,Linkolna
Linkolna,ru,Авраама Линкольна
Linkolna,uk,Авраама Лінкольна
Liubinska,en,Liubinska
Liubinska,ru,Любинская
Liubinska,uk,Любінська
LK ATP №1,en,LK ATP №1
LK ATP №1,ru,ЛК АТП № 1
LK ATP №1,uk,ЛК АТП № 1
Lomonosova,en,Lomonosova
Lomonosova,ru,Ломоносова
Lomonosova,uk,Ломоносова
Lotne Pole,en,Lotne Pole
Lotne Pole,ru,Летное поле
Lotne Pole,uk,Льотне Поле
Luhanska,en,Luhanska
Luhanska,ru,Луганская
Luhanska,uk,Луганська
Lviv Politechnic University,en,Lviv Politechnic University
Lviv Politechnic University,ru,Университет Львовская Политехника
Lviv Politechnic University,uk,Університет Львівська Політехніка
Lvivelektrotrans,en,Lvivelektrotrans
Lvivelektrotrans,ru,ЛьвовЭлектротранс
Lvivelektrotrans,uk,Львівелектротранс
Lvovska,en,Lvovska
Lvovska,ru,Львовская
Lvovska,uk,Львівська
Lyceum named heroes of Kruty,en,Lyceum named heroes of Kruty
Lyceum named heroes of Kruty,ru,Лицей им. Героев Крут
Lyceum named heroes of Kruty,uk,Ліцей ім. Героїв Крут
Lychakivska,en,Lychakivska
Lychakivska,ru,Лычаковская
Lychakivska,uk,Личаківська
Lychakivska-Trakt Hlynianskyi,en,Lychakivska-Trakt Hlynianskyi
Lychakivska-Trakt Hlynianskyi,ru,Лычаковская-Глинянский тракт
Lychakivska-Trakt Hlynianskyi,uk,Личаківська-Глинянський тракт
Lychakivskyi Tsvyntar (Lychakiv Cemetry),en,Lychakiv Cemetry
Lychakivskyi Tsvyntar (Lychakiv Cemetry),ru,Лычаковское кладбище
Lychakivskyi Tsvyntar (Lychakiv Cemetry),uk,Личаківський цвинтар
Lypova Aleia,en,Lypova Aleia
Lypova Aleia,ru,Липовая аллея
Lypova Aleia,uk,Липова Алея
Lypynskoho,en,Lypynskoho
Lypynskoho,ru,Липинского
Lypynskoho,uk,Липинського
Lypynskoho-Mykolaichuka,en,Lypynskoho-Mykolaichuka
Lypynskoho-Mykolaichuka,ru,Лыпынского-Мыколайчука
Lypynskoho-Mykolaichuka,uk,Липинського-Миколайчука
Lypynskoho-Zamarstynivska,en,Lypynskoho-Zamarstynivska
Lypynskoho-Zamarstynivska,ru,Липинского-Замарстыновская
Lypynskoho-Zamarstynivska,uk,Липинського-Замарстинівська
Lystopadovho Сhynu,en,Lystopadovho Сhynu
Lystopadovho Сhynu,ru,Листопадового Чина
Lystopadovho Сhynu,uk,Листопадового Чину
Lysynetska,en,Lysynetska
Lysynetska,ru,Лисеницкая
Lysynetska,uk,Лисинецька
Lysynychi,en,Lysynychi
Lysynychi,ru,Лисиничи
Lysynychi,uk,Лисиничі
Lysynychi-Railway Station,en,Lysynychi-Railway Station
Lysynychi-Railway Station,ru,Лысынычи-Железнодорожный вокзал
Lysynychi-Railway Station,uk,Лисиниці-Залізничний вокзал
Lytvynenko,en,Lytvynenko
Lytvynenko,ru,Литвиненко
Lytvynenko,uk,Литвиненка
Lyvarna,en,Lyvarna
Lyvarna,ru,Литейная
Lyvarna,uk,Ливарна
Mahazin,en,Mahazin
Mahazin,ru,Магазин
Mahazin,uk,Магазин
Mahnus,en,Shputalna (Mahnus)
Mahnus,ru,Шпытальна (ТЦ Магнус)
Mahnus,uk,Шпитальна (ТЦ Магнус)
Maksymovycha,en,Maksymovycha
Maksymovycha,ru,Максимовича
Maksymovycha,uk,Максимовича
Maksymovycha-Murovane,en,Maksymovycha-Murovane
Maksymovycha-Murovane,ru,Максымовыча-Муроване
Maksymovycha-Murovane,uk,Максимовича-Муроване
Mall Arsen,en,Mall Arsen
Mall Arsen,ru,ТЦ Арсен
Mall Arsen,uk,ТЦ Арсен
Mall Furshet,en,Mall Furshet
Mall Furshet,ru,ТЦ Фуршет
Mall Furshet,uk,ТЦ Фуршет
Mall Iskra,en,Mall Iskra
Mall Iskra,ru,ТЦ Искра
Mall Iskra,uk,ТЦ Іскра
Mall Srynia,en,Mall Srynia
Mall Srynia,ru,ТЦ Скрыня
Mall Srynia,uk,ТЦ Скриня
Mall VAM,en,Mall VAM
Mall VAM,ru,ТЦ ВАМ
Mall VAM,uk,ТЦ ВАМ
market Pivdenyi,en,market Pivdenyi
market Pivdenyi,ru,Рынок Пивденный
market Pivdenyi,uk,Ринок Південний
market Shuvar,en,market Shuvar
market Shuvar,ru,Рынок Шувар
market Shuvar,uk,Ринок Шувар
Maiorivka,en,Mayorivka
Maiorivka,ru,Майоровка
Maiorivka,uk,Майорівка
Mazepy,en,Mazepy
Mazepy,ru,Гетмана Мазепы
Mazepy,uk,Гетьмана Мазепи
Meblevyi Kombinat,en,Meblevyi Kombinat
Meblevyi Kombinat,ru,Мебельный Комбинат
Meblevyi Kombinat,uk,Меблевий Комбінат
Mechnikova,en,Mechnikova
Mechnikova,ru,Мечникова
Mechnikova,uk,Мечнікова
Medical University,en,Medical University
Medical University,ru,Медицинский университет
Medical University,uk,Медичний університет
Medovoi Pechery,en,Medovoi Pechery
Medovoi Pechery,ru,Медовой Печеры
Medovoi Pechery,uk,Медової Печери
Medovoi Pechery-Symonenka,en,Medovoi Pechery-Symonenka
Medovoi Pechery-Symonenka,ru,Медовои Печеры-Симоненка
Medovoi Pechery-Symonenka,uk,Медової Печери-Симоненка
Melnyka,en,Melnyka
Melnyka,ru,Мельника
Melnyka,uk,Мельника
Metro,en,Metro
Metro,ru,Метро
Metro,uk,Метро
Mira i K,en,Mira i K
Mira i K,ru,Мира и К
Mira i K,uk,Міра і К
monument Bandery,en,monument Bandery
monument Bandery,ru,Памятник Бандере
monument Bandery,uk,Пам'ятник Бандері
Motozavod (Moto Factory),en,Moto Factory
Motozavod (Moto Factory),ru,Мотозавод
