Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
11-та поліклініка,Поліклініка №11 ,"Тракторобудівників просп., 105",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,●,,
11-та поліклініка,Поліклініка №11 ,"Тракторобудівників просп., 160",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
11-та поліклініка,Поліклініка №11 ,"Тракторобудівників просп., 160",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,●,,
531-й мікрорайон,"Командарма Уборевича, 32","Уборевіча вул., 36",Уборевіча вул.,до ст. «Салтівська»,Моск.,●,,
вулиця Гвардійців-Широнінців,вул. Гвардійців-Широнінців,"Уборевіча вул., 28/64",Уборевіча вул.,до ст. «Салтівська»,Моск.,●,,
Кітлярчин яр,"""Родник"" (Командарма Уборевича, 18)","Уборевіча вул., 16",Уборевіча вул.,до ст. «Салтівська»,Моск.,●,,
524-й мікрорайон,маг. «Ямайка» (Командарма Уборевича),"Уборевіча вул., 10",Уборевіча вул.,до ст. «Салтівська»,Моск.,●,,
вулиця Уборевіча,вул. Командарма Уборевича,"Тракторобудівників просп., 164",Тракторобудівників просп.,висадка/ посадка,Моск.,,,●
вулиця Уборевіча,вул. Командарма Уборевича,"Тракторобудівників просп., 164",Тракторобудівників просп.,до центру,Моск.,●,,
вулиця Уборевіча,вул. Командарма Уборевича,"Тракторобудівників просп., 164",Тракторобудівників просп.,кінцева,Моск.,,,●
Салтівська,Салтівська,"Тракторобудівників просп., 109",Тракторобудівників просп.,до Плиткового заводу,Моск.,,,●
13-а дитяча поліклініка,Дитяча поліклініка №13,"Тракторобудівників просп., 97",Тракторобудівників просп.,до Плиткового заводу,Моск.,●,,
13-а дитяча поліклініка,Дитяча поліклініка №13,"Тракторобудівників просп., 150",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
13-а дитяча поліклініка,Дитяча поліклініка №13,"Тракторобудівників просп., 150",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,●,,
13-а дитяча поліклініка,Дитяча поліклініка №13,"Тракторобудівників просп., 150",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
606-й мікрорайон,606 м/р,"Тракторобудівників просп., 142",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,●,,
606-й мікрорайон,606 м/р,"Тракторобудівників просп., 142",Тракторобудівників просп.,до Плиткового заводу,Моск.,,,●
606-й мікрорайон,606 м/р,"Тракторобудівників просп., 89",Тракторобудівників просп.,до Плиткового заводу,Моск.,●,,
606-й мікрорайон,606 м/р,"Тракторобудівників просп., 89",Тракторобудівників просп.,до Плиткового заводу,Моск.,,,●
вулиця Блюхера,вул. Блюхера,"Тракторобудівників просп., 83",Тракторобудівників просп.,до Плиткового заводу,Моск.,●,,
вулиця Блюхера,вул. Блюхера,"Тракторобудівників просп., 130",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
вулиця Блюхера,вул. Блюхера,"Тракторобудівників просп., 130",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,●,,
вулиця Блюхера,вул. Блюхера,"Тракторобудівників просп., 130",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
Сади,сади,"Тракторобудівників просп., 124",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,●,,
Сади,сади,"Тракторобудівників просп., 124",Тракторобудівників просп.,до Плиткового заводу,Моск.,,,●
Сади,сади,"Тракторобудівників просп., 124",Тракторобудівників просп.,до Плиткового заводу,Моск.,●,,
Сади,сади,"Тракторобудівників просп., 124",Тракторобудівників просп.,до Плиткового заводу,Моск.,,,●
вулиця Тимурівців,вул. Тимурівців,"Тракторобудівників просп., 75",Тракторобудівників просп.,до Плиткового заводу,Моск.,●,,
вулиця Тимурівців,вул. Тимурівців,"Тракторобудівників просп., 122",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
вулиця Тимурівців,вул. Тимурівців,"Тракторобудівників просп., 122",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,●,,
вулиця Тимурівців,вул. Тимурівців,"Тракторобудівників просп., 122",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
вулиця Механізаторська,вул. Механізаторська,"Тракторобудівників просп., 110а",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,●,,
вулиця Механізаторська,вул. Механізаторська,"Тракторобудівників просп., 110а",Тракторобудівників просп.,до Плиткового заводу,Моск.,,,●
вулиця Механізаторська,вул. Механізаторська,"Тракторобудівників просп., 67",Тракторобудівників просп.,до Плиткового заводу,Моск.,●,,
вулиця Механізаторська,вул. Механізаторська,"Тракторобудівників просп., 110а",Тракторобудівників просп.,до Плиткового заводу,Моск.,,,●
проспект 50-річчя ВЛКСМ,просп. П’ятдесятиріччя ВЛКСМ,"П'ятдесятиріччя ВЛКСМ просп., 55/61",Тракторобудівників просп.,до Плиткового заводу,Моск.,●,,
проспект 50-річчя ВЛКСМ,просп. П’ятдесятиріччя ВЛКСМ,"П'ятдесятиріччя ВЛКСМ просп., 57/106",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
проспект 50-річчя ВЛКСМ,просп. П’ятдесятиріччя ВЛКСМ,"П'ятдесятиріччя ВЛКСМ просп., 57/106",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,●,,
проспект 50-річчя ВЛКСМ,просп. П’ятдесятиріччя ВЛКСМ,"Тракторобудівників просп., 104",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
парк Перемоги,парк Перемоги,"Тракторобудівників просп., 98",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
парк Перемоги,парк Перемоги,"Тракторобудівників просп., 98",Тракторобудівників просп.,до Плиткового заводу (Салтівське шосе),Моск.,●,,
парк Перемоги,парк Перемоги,"Тракторобудівників просп., 55",Тракторобудівників просп.,до Плиткового заводу (Салтівське шосе),Моск.,●,,
парк Перемоги,парк Перемоги,"Тракторобудівників просп., 98",Тракторобудівників просп.,до ст. «Салтівська»,Моск.,,,●
Салтівське шосе,Салтівське шосе,"Салтівське шосе, 137",Тракторобудівників просп.,до Плиткового заводу,Моск.,●,,
Салтівське шосе,Салтівське шосе,"Салтівське шосе, 137",Тракторобудівників просп.,до Плиткового заводу,Моск.,●,,
Салтівське шосе,Салтівське шосе,"Салтівське шосе, 135",Тракторобудівників просп.,до просп. 50-річчя СРСР,Фрунз.,,,●
Салтівське шосе,Салтівське шосе,"Салтівське шосе, 137",Тракторобудівників просп.,до центру,Моск.,●,,
вулиця Соїча,вул. Соїча,"Московський просп., 191",Московський просп.,до центру,Моск.,●,●,
вулиця Тарасівська,вул. Тарасівська,"Московський просп., 102/112",Московський просп.,до вул. Одеської,Комінт.,●,●,
вулиця Краснодарська,вул. Краснодарська,"Халтуріна вул., 52",П'ятдесятиріччя СРСР просп.,до вул. Одеської,Моск.,●,●,
Салтівське шосе,Салтівське шосе,"П'ятдесятиріччя СРСР просп., 227",П'ятдесятиріччя СРСР просп.,до 602 м/р,Моск.,●,●,
Салтівське шосе,Салтівське шосе,"П'ятдесятиріччя СРСР просп., 126",П'ятдесятиріччя СРСР просп.,до 602 м/р,Моск..,●,●,
вулиця Камишева,вул. Івана Камишева,"П'ятдесятиріччя СРСР просп., 150",П'ятдесятиріччя СРСР просп.,до вул. Одеської,Моск.,●,●,
вулиця Камишева,вул. Івана Камишева,"П'ятдесятиріччя СРСР просп., 237",П'ятдесятиріччя СРСР просп.,до 602 м/р,Моск.,●,●,
проспект 50-річчя ВЛКСМ,просп. П’ятдесятиріччя ВЛКСМ,"П'ятдесятиріччя ВЛКСМ просп., 32/186",П'ятдесятиріччя ВЛКСМ просп.,к ст. м. «Академіка Барабашова»,Моск.,●,●,
проспект 50-річчя СРСР,просп. П’ятдесятиріччя СРСР,"Заміська вул., 68",П'ятдесятиріччя ВЛКСМ просп.,до ст. м. «Московський проспект»,Моск.,●,●,
проспект 50-річчя СРСР,просп. П’ятдесятиріччя СРСР,"Автострадна вул., 193",П'ятдесятиріччя СРСР просп.,до 602 м/р,Моск.,●,●,
вулиця Гвардійців-Широнінців,вул. Гвардійців-Широнінців,"П'ятдесятиріччя ВЛКСМ просп., 48",П'ятдесятиріччя ВЛКСМ просп.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця Гвардійців-Широнінців,вул. Гвардійців-Широнінців,"П'ятдесятиріччя ВЛКСМ просп., 49/8",П'ятдесятиріччя ВЛКСМ просп.,до 602 м/р,Моск.,●,●,
"Кінотетатр ""Росія""",кінотеатр «Росія»,"П'ятдесятиріччя ВЛКСМ просп., 54",П'ятдесятиріччя ВЛКСМ просп.,до 602 м/р,Моск.,●,●,
проспект Тракторобудівників,просп. Тракторобудівників,"П'ятдесятиріччя ВЛКСМ просп., 64",П'ятдесятиріччя ВЛКСМ просп.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
проспект Тракторобудівників,просп. Тракторобудівників,"П'ятдесятиріччя ВЛКСМ просп., 55а",П'ятдесятиріччя ВЛКСМ просп.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця Познанська,вул. Познанська,"П'ятдесятиріччя ВЛКСМ просп., 63а",П'ятдесятиріччя ВЛКСМ просп.,до 602 м/р,Моск.,●,●,
вулиця Познанська,вул. Познанська,"П'ятдесятиріччя ВЛКСМ просп., 74",П'ятдесятиріччя ВЛКСМ просп.,до 602 м/р,Моск.,●,●,
Салтівський РЕМ,"Салтівський РЕМ, Хімчистка","П'ятдесятиріччя ВЛКСМ просп., 88",П'ятдесятиріччя ВЛКСМ просп.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
Салтівський РЕМ,"Салтівський РЕМ, Хімчистка","П'ятдесятиріччя ВЛКСМ просп., 67",П'ятдесятиріччя ВЛКСМ просп.,"до супермаркету ""Ярославна""",Моск.,●,●,
602-й мікрорайон,602 м/р,"П'ятдесятиріччя ВЛКСМ просп., 98",П'ятдесятиріччя ВЛКСМ просп.,висадка,Моск.,●,,
602-й мікрорайон,602 м/р,"П'ятдесятиріччя ВЛКСМ просп., 98",П'ятдесятиріччя ВЛКСМ просп.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
602-й мікрорайон,602 м/р,"П'ятдесятиріччя ВЛКСМ просп., 85",П'ятдесятиріччя ВЛКСМ просп.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця Гвардійців-Широнінців,вул. Гвардійців-Широнінців,"П'ятдесятиріччя ВЛКСМ просп., 47/19",П'ятдесятиріччя ВЛКСМ просп.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця Гвардійців-Широнінців,вул. Гвардійців-Широнінців,"П'ятдесятиріччя ВЛКСМ просп., 49/8",П'ятдесятиріччя ВЛКСМ просп.,до вул. Наталії Ужвій,Моск.,●,●,
вулиця Механізаторська,вул. Механізаторська,"Гвардійців-Широнінців вул., 22",Гвардійців-Широнінців вул.,до вул. Наталії Ужвій,Моск.,●,●,
вулиця Механізаторська,вул. Механізаторська,"Гвардійців-Широнінців вул., 27",Гвардійців-Широнінців вул.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця Тимурівців,вул. Тимурівців,"Гвардійців-Широнінців вул., 45",Гвардійців-Широнінців вул.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця Тимурівців,вул. Тимурівців,"Гвардійців-Широнінців вул., 32",Гвардійців-Широнінців вул.,до вул. Наталії Ужвій,Моск.,●,●,
вулиця Блюхера,вул. Блюхера,"Гвардійців-Широнінців вул., 38",Гвардійців-Широнінців вул.,до вул. Наталії Ужвій,Моск.,●,●,
вулиця Блюхера,вул. Блюхера,"Гвардійців-Широнінців вул., 55",Гвардійців-Широнінців вул.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця Гвардійців-Широнінців,вул. Гвардійців-Широнінців,"Блюхера вул., 29",Блюхера вул.,до ст. м. «Студенська»,Моск.,●,●,
вулиця Гвардійців-Широнінців,вул. Гвардійців-Широнінців,"Блюхера вул., 31",Блюхера вул.,до Східної Салтівки,Моск.,●,●,
607-й мікрорайон,607 м/р,"Гвардійців-Широнінців вул., 44",Гвардійців-Широнінців вул.,до вул. Наталії Ужвій,Моск.,●,●,
607-й мікрорайон,607 м/р,"Гвардійців-Широнінців вул., 61а",Гвардійців-Широнінців вул.,до просп. 50-річчя ВЛКСМ,Моск.,●,●,
вулиця Героїв Праці,вул. Героїв Праці,"Гвардійців-Широнінців вул., 69/42",Гвардійців-Широнінців вул.,до просп. 50-річчя  ВЛКСМ,Моск.,●,●,
вулиця Героїв Праці,вул. Героїв Праці,"Гвардійців-Широнінців вул., 50/29",Гвардійців-Широнінців вул.,до вул. Наталії Ужвій,Моск.,●,●,
524-й мікрорайон,524 м/р,"Гвардійців-Широнінців вул., 54а",Гвардійців-Широнінців вул.,до вул. Наталії Ужвій,Моск.,●,●,
524-й мікрорайон,524 м/р,"Гвардійців-Широнінців вул., 77",Гвардійців-Широнінців вул.,до просп. 50-річчя ВЛКСМ,Моск.,●,●,
вулиця Уборевіча,вул. Командарма Уборевича,"Гвардійців-Широнінців вул., 83",Гвардійців-Широнінців вул.,до просп. 50-річчя ВЛКСМ,Моск.,●,●,
вулиця Уборевіча,вул. Командарма Уборевича,"Гвардійців-Широнінців вул., 64",Гвардійців-Широнінців вул.,до вул. Наталії Ужвій,Моск.,●,●,
Джерельна,Джерельна,"Гвардійців-Широнінців вул., 68",Гвардійців-Широнінців вул.,до вул. Наталії Ужвій,Моск.,●,●,
Джерельна,Джерельна,"Гвардійців-Широнінців вул., 93",Гвардійців-Широнінців вул.,до просп. 50-річчя ВЛКСМ,Моск.,●,●,
"станція метро ""Студентська""",ст. м. «Студентська»,"Блюхера вул., 18а",Блюхера вул.,до Східної Салтівки,Моск.,●,●,
520-й мікрорайон,520 м/р,"Блюхера вул., 22",Блюхера вул.,до Східної Салтівки,Моск.,●,●,
521-й мікрорайон,521 м/р,"Блюхера вул., 23",Блюхера вул.,до ст. м. «Студентська»,Моск.,●,●,
проспект Тракторобудівників,просп. Тракторобудівників,"Блюхера вул., 35/81",Блюхера вул.,до ст. м. «Студентська»,Моск.,●,●,
проспект Тракторобудівників,просп. Тракторобудівників,"Блюхера вул., 38б",Блюхера вул.,до Східної Салтівки,Моск.,●,●,
вулиця Гарібальді,вул. Гарібальді,"Блюхера вул., 44б",Блюхера вул.,до Східної Салтівки,Моск.,●,●,
вулиця Гарібальді,вул. Гарібальді,"Блюхера вул., 45",Блюхера вул.,до ст. м. «Студентська»,Моск.,●,●,
вулиця Гарібальді,вул. Гарібальді (школа),"Гарібальді вул., 9",Гарібальді вул.,до вул. Тимурівців,Моск.,●,,
вулиця Гарібальді,вул. Гарібальді (школа),"Гарібальді вул., 26",Гарібальді вул.,до вул. Блюхера,Моск.,●,,
вулиця Тимурівців,вул. Тимурівців,"Гарібальді вул., 1",Гарібальді вул.,кінцева,Моск.,●,,
Східна Салтівка,Східна Салтівка,"Блюхера вул., 64",Блюхера вул.,до ст. м. «Студентська»,Моск.,●,●,
Східна Салтівка,Східна Салтівка,"Блюхера вул., 64",Блюхера вул.,висадка,Моск.,●,●,
вулиця Стасової,вул. Олени Стасової,"Якіра вул., 136",Якіра вул.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця З'єднана ,вул. З'єднана,"Якіра вул., 78",Якіра вул.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця Віринська,вул. Віринська,"Якіра вул., 38",Якіра вул.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
вулиця Якіра,вул. Якіра,"Спортивний пров., 7",Спортивний пров.,до ст. м. «Академіка Барабашова»,Моск.,●,●,
625-й мікрорайон,"601 м/р (супермаркет ""Благо"")","Корчагінців вул., 34",Корчагінців вул.,до ст. м. «Академіка Барабашова»,Фрунз.,●,,
вулиця Сонячна,626 м/р,"Корчагінців вул., 56",Корчагінців вул.,до Новоселівки,Фрунз.,●,,
Медкомплекс,Медкомплекс,"Салтівське шосе, 260",Медична вул.,до вул. Корчагінців,Фрунз.,●,,
625-й мікрорайон,вул. Велозаводська,"Корчагінців вул., 19",Корчагінців вул.,до вул. Краснодарської,Фрунз.,●,,
проспект Тракторобудівників,просп. Тракторобудівників,"Петрозаводська вул., 70",Петрозаводська вул.,до вул. Корчагінців,Фрунз.,●,,
вулиця Корчагінців,вул. Корчагінців,"Корчагінців вул., 40",Корчагінців вул.,до 602 м/р,Фрунз.,●,,
вулиця Корчагінців,вул. Корчагінців,"Корчагінців вул., 25",Корчагінців вул.,до просп. Тракторобудівників,Фрунз.,●,,
Петренки,Петренки,"Петренківський 1-й пр-д, 29",Краснодарська вул.,до просп. Тракторобудівників,Фрунз.,●,,
вулиця Світла,вул. Світла,"Світла вул., 49",Світла вул.,кінцева,Моск.,●,,
вулиця Істомінська,парк Перемоги,"Гвардіців-Широнінців вул, 5",Гвардійців-Широнінців вул.,до вул. Світлої,Моск.,●,,
вулиця Істомінська,парк Перемоги,"Гвардіців-Широнінців вул, 5",Гвардійців-Широнінців вул.,до Салтівського шосе,Моск.,●,,
вулиця Гвардійців-Широнінців,SPA-центр,"П'ятдесятиріччя ВЛКСМ просп., 48",Гвардійців-Широнінців вул.,до вул. Світлої,Моск.,●,,
вулиця Гвардійців-Широнінців,SPA-центр,"Гвардіців-Широнінців вул, 15/46",Гвардійців-Широнінців вул.,до Салтівського шосе,Моск.,●,,
"станція метро ""Героїв Праці""",ст. м. «Героїв Праці»,"Героїв Праці вул., 13а",Академіка Павлова вул.,до вул. Наталії Ужвій,Моск.,●,,
"станція метро ""Героїв Праці""",ст. м. «Героїв Праці»,"Героїв Праці вул., 13а",Академіка Павлова вул.,до вул. Н. Ужвій,Моск.,●,,
"станція метро ""Героїв Праці""",ст. м. «Героїв Праці»,"Героїв Праці вул., 13а",Академіка Павлова вул.,до вул. Дружби Народів,Моск.,●,,
вулиця Світла,вул. Світла,"Героїв Праці вул., 49",Героїв Праці вул.,"до ст. м. ""Героїв Праці""",Моск.,●,,
вулиця Корчагінців ,вул. Корчагінців ,"Корчагінців вул., 48",Корчагінців вул.,до вул. Сонячної,Фрунз.,●,,
проспект Дзюби,просп. Дзюби,"Ілліча просп., 121а",Ілліча просп.,кінцева,Жовт.,●,●,
провулок Архангельський,пров. Архангельський,"Ілліча просп., 117",Ілліча просп.,до центру,Жовт.,●,●,
провулок Архангельський,пров. Архангельський,"Ілліча просп., 117",Ілліча просп.,до просп. Дзюби,Жовт.,●,●,
вулиця Даргомижського,вул. Драгомижського,"Ілліча просп., 103",Ілліча просп.,до просп. Дзюби,Жовт.,●,●,
вулиця Даргомижського,вул. Драгомижського,"Ілліча просп., 105",Ілліча просп.,до центру,Жовт.,●,●,
вулиця Шульженко,вул. К. Шульженко,"Ілліча просп., 93",Ілліча просп.,до центру,Жовт.,●,●,
вулиця Шульженко,вул. К. Шульженко,"Ілліча просп., 90",Ілліча просп.,до просп. Дзюби,Жовт.,●,●,
вулиця Китаєнка,"Культурно діловий центр ""Баварія""","Китаєнка вул., 10",Ілліча просп.,до просп. Дзюби,Жовт.,●,●,
вулиця Китаєнка,"Культурно діловий центр ""Баварія""","Ілліча просп., 77",Ілліча просп.,до центру,Жовт.,●,●,
вулиця Станційна,залізнична станція Нова Баварія,Постишева просп.,Постишева просп.,до центру,Жовт.,●,●,
вулиця Станційна,залізнична станція Нова Баварія,Постишева просп.,Постишева просп.,до просп. Дзюби,Жовт.,●,●,
Григорівка,Григорівка,"Тельмана вул., 11",Постишева просп.,до просп. Дзюби,Жовт.,●,●,
Григорівка,Григорівка,"Постишева просп., 99",Постишева просп.,до центру,Жовт.,●,●,
вулиця Цюрупи,вул. Цюрупи,"Цюрупи вул., 27",Цюрупи вул.,"к ст.м. ""Холодна гора""",Жовт.,●,,
вулиця Цюрупи,вул. Цюрупи,"Цюрупи вул., 27",Цюрупи вул.,до вул. Постишева,Жовт.,●,,
Комсомольське шосе,Комсомольське шосе,"Комсомольське шосе, 56",Комсомольське шосе,до вул. Цюрупи,Жовт.,●,,
вулиця Цюрупи,вул. Цюрупи,"Постишева просп., 91",Постишева просп.,до центру,Жовт.,●,●,
вулиця Цюрупи,вул. Цюрупи,"Постишева просп., 22",Постишева просп.,до просп. Дзюби,Жовт.,●,●,
проспект Постишева,просп. Постишева,"Постишева просп., 47",Постишева просп.,до просп. Дзюби,Жовт.,●,●,
вулиця Наріманова,вул. Наріманова,"Постишева просп., 47",Наріманова вул.,до вул. Конєва,Жовт.,●,●,
вулиця Наріманова,вул. Наріманова,"Постишева просп., 4",Голубівська вул.,до вул. Новий Бит,Жовт.,●,●,
вулиця Цехівська,вул. Цехівська,"Наріманова вул., 47",Наріманова вул.,до вул. Новий Бит,Жовт.,●,●,
вулиця Цехівська,вул. Цехівська,"Наріманова вул., 32",Наріманова вул.,до вул. Постишева,Жовт.,●,●,
Комсомольське шосе,Комсомольське шосе,"Наріманова вул., 4/6",Наріманова вул.,до вул. Постишева,Жовт.,●,●,
Комсомольське шосе,Комсомольське шосе,"Комсомольське шосе, 54",Наріманова вул.,до вул. Новий Бит,Жовт.,●,●,
вулиця Полтавський Шлях,ст.м. «Холодная Гора»,"Наріманова вул., 4",Наріманова вул.,до вул. Постишева,Жовт.,●,●,
вулиця Планова,вул. Планова,"Планова вул., 27",Планова вул.,до вул. Конєва,Жовт.,●,●,
вулиця Володарського,вул. Володарського,"Володарського вул., 67",Володарського вул.,до вул. Конєва,Жовт.,●,●,
вулиця Володарського,вул. Володарського,"Володарського вул., 46",Володарського вул.,до просп. Дзюби,Жовт.,●,●,
вулиця Велика Гончарівська,вул. Велика Гончарівська,"Велика Гончарівська вул., 28",Велика Гончарівська вул.,до просп. Дзюби,Жовт.,●,●,
вулиця Велика Гончарівська,вул. Велика Гончарівська,"Червоножовтнева вул., 90",Велика Гончарівська вул.,до вул. Конєва,Жовт.,●,●,
вулиця Конєва,вул. Конєва,"Конева вул., 4",Міліціонера м-н,висадка,Жовт.,,●,
вулиця Конєва,вул. Конєва,"Конева вул., 4",Міліціонера м-н,посадка,Жовт.,,●,
вулиця Полтавський Шлях,вул. Конєва,"Конева вул., 2",Конєва вул.,до просп. Дзюби,Жовт.,,●,
вулиця Полтавський Шлях,вул. Полтавський шлях,"Конева вул., 1",Конєва вул.,до Центрального ринку,Жовт.,●,●,●
вулиця Червоноармійська,вул. Красноармійська,"Полтавський Шлях вул, 65",Полтавський Шлях вул.,до центру,Жовт.,,,●
вулиця Червоноармійська,вул. Красноармійська,"Полтавський Шлях вул, 65",Полтавський Шлях вул.,до центру,Жовт.,●,,
Озерянська церква,Озерянська црков,"Полтавський Шлях вул, 115",Полтавський Шлях вул.,до центру,Жовт.,●,,●
вулиця Конєва,вул. Конєва,"Полтавський Шлях вул, 41",Полтавський Шлях вул.,до центру,Жовт.,●,,●
вулиця Дмитрівська,вул. Дмитрівська ,"Полтавський Шлях вул, 33",Полтавський Шлях вул.,до центру,Жовт.,●,,●
вулиця Полтавський Шлях,вул. Конєва,"Конєва вул., 4",Міліціонера м-н,до центру,Жовт.,●,●,●
Театр для дітей та юнацтва,ТЮЗ,"Полтавський Шлях вул, 17а",Полтавський Шлях вул.,до центру,Жовт.,●,,●
Лопанська набережна,Лопанська набережна,"Полтавський Шлях вул, 1/3",Полтавський Шлях вул.,до центру,Жовт.,●,,●
Нетіченська набережна,Нетіченська набережна,"Чапаєва наб., 1",Чапаєва в-д,до Новожанова,Жовт.,●,,●
Нетіченська набережна,Нетіченська набережна,"Нетіченська вул., 21",Чапаєва в-д,до Південного Вокзалу,Жовт.,●,,●
вулиця Примакова,Школа мистецтв ім. Леонтовича,"Примакова вул., 47/49а",Чапаєва в-д,до Південного Вокзалу,Жовт.,●,,●
вулиця Примакова,Школа мистецтв ім. Леонтовича,"Краснодонська вул., 12б",Чапаєва в-д,до Новожанова,Жовт.,●,,●
Косметологічна полікліника,Косметологічна поліклініка,"Жовтневої Революції вул., 72",Жовтневої Революції вул.,до Новожанова,Жовт.,●,,●
вулиця Валер'янівська,Косметологічна  поліклініка,"Жовтневої Революції вул., 100",Жовтневої Революції вул.,до Трисвятительської церкви,Жовт.,●,,●
Косметологічна полікліника,вул. Валер'янівська,"Жовтневої Революції вул., 66",Жовтневої Революції вул.,до Новожанова,Жовт.,●,,●
парк ім. Квітки-Основ'яненка,парк ім. Квітки-Основ'яненка,"Богомольця вул., 2",Жовтневої Революції вул.,до Новожанова,Жовт.,●,,●
парк ім. Квітки-Основ'яненка,парк ім. Квітки-Основ'яненка,"Жовтневої Революції вул., 99",Жовтневої Революції вул.,до центру,Жовт.,●,,●
вулиця Кривомазова,вул. Кривомазова,"Жовтневої Революції вул., 139",Жовтневої Революції вул.,до центру,Жовт.,●,,
вулиця Кривомазова,вул. Кривомазова,"Жовтневої Революції вул., 144",Жовтневої Революції вул.,до центру,Жовт.,,,●
вулиця Кривомазова,вул. Кривомазова,"Жовтневої Революції вул., 144",Жовтневої Революції вул.,до Новожанова,Жовт.,,,●
вулиця Кривомазова,вул. Кривомазова,"Жовтневої Революції вул., 144",Жовтневої Революції вул.,до Новожанова,Жовт.,●,,
вулиця Кривомазова,вул. Кривомазова,"Жовтневої Революції вул., 142",Жовтневої Революції вул.,до Новоселівки,Жовт.,,,●
вулиця Жовтневої Революції,вул. Жовтневої Революції,"Жовтневої Революції вул., 142а",Кривомазова вул.,до центру,Жовт.,●,,●
вулиця Фельдшерська,вул. Борова,"Кривомазова вул., 16",Кривомазова вул.,до центру,Жовт.,●,,●
вулиця Фельдшерська,вул. Борова,"Фельдшерська вул., 31",Кривомазова вул.,до Новоселівки,Жовт.,●,,●
Новоселівка,вул. Лютівська,"Орача вул., 63",Орача вул.,висадка,Жовт.,●,,●
Новоселівка,Новоселівка,"Сухарівська вул., 30",Кривомазова вул.,посадка,Жовт.,●,,●
Жовтневе депо,Жовтневе депо,"Жовтневої Революції вул., 169",Жовтневої Революції вул.,до центру,Жовт.,●,,●
Жовтневе депо,Жовтневе депо,"Жовтневої Революції вул., 174",Жовтневої Революції вул.,до Новожаново,Жовт.,●,,●
Новожанове,Новожанове,"Жовтневої Революції вул., 242",Жовтневої Революції вул.,кінцева,Жовт.,,,●
вулиця Мар'їнська,вул. Мар'їнська,"Жовтневої Революції вул., 2",Жовтневої Революції вул.,до вул. Кривомазівської,Жовт.,●,,
вулиця Мар'їнська,вул. Мар'їнська,"Жовтневої Революції вул., 3",Жовтневої Революції вул.,до пров. Спартаківського,Жовт.,●,,
вулиця Жовтневої Революції,вул. Жовтневої Революції,"Жовтневої Революції вул., 36",Жовтневої Революції вул.,до вул. Кривомазівської,Жовт.,●,,
вулиця Жовтневої Революції,вул. Жовтневої Революції,"Жовтневої Революції вул., 39",Жовтневої Революції вул.,до вул. Радянської,Жовт.,●,,
вулиця Алуштинська,вул. Алуштинська,"Афанасівський пров., 36",Афанасівський пров.,до  Залютіна,Ленін.,●,,
вулиця Алуштинська,вул. Алуштинська,"Афанасівський пров., 31",Афанасівський пров.,"до ст. м. ""Холодна Гора""",Ленін.,●,,
вулиця Барикадна,вул. Барикадна,"Барикадна вул., 72",Барикадна вул.,до  Залютіно,Ленін.,●,,
вулиця Барикадна,вул. Барикадна,"Єлізарова вул., 13",Барикадна вул.,"до ст. м. ""Холодна Гора""",Ленін.,●,,
проспект Ілліча (вулиця Конопляна),просп. Ілліча (окружна дорога),Ілліча просп.,Ілліча просп.,кінцева,Жовт.,●,,
вулиця Ломоносова,Пологовий будинок,"Тімірязєва вул., 2",Тімірязєва вул.,до вул. Бугрименка,Жовт.,●,,
