Найменування зупинки,Попередня назва,Адреса зупинки,Розташування зупинки,Напрямок руху,Район,Автобус,Тролейбус,Трамвай
23-я дитяча лікарня,МРЕО (23-я поліклініка),"Шевченка вул., 60",Шевченка вул.,на Салтівку,Київ.,●,,
23-я дитяча лікарня,Поліклініка №23 ,"Шевченка вул., 133",Шевченка вул.,до пров. Фейєрбаха,Київ.,●,,
Управління ДАІ,ОблДАІ,"Шевченка вул., 105",Шевченка вул.,до пров. Фейєрбаха,Київ.,●,,
вулиця Шевченка,"Фабрика ""Здоров’я"", Академія Управління","Шевченка вул., 47",Шевченка вул.,до пров. Фейєрбаха,Київ.,●,,
вулиця Шевченка,"Фабрика ""Здоров’я"", Академія Управління","Шевченка вул., 22",Шевченка вул.,"до ст.м. ""Київська""",Київ.,●,,
Білгородський узвіз,Білгородський узвіз (МНС),"Шевченка вул., 8",Шевченка вул.,до пров. Фейєрбаха,Київ.,●,,
Міст Чигирина,міст Чигирина,"Шевченка вул., 1",Шевченка вул.,до пров. Фейєрбаха,Київ.,●,,
Міст Чигирина,міст Чигирина,"Шевченка вул., 2",Шевченка вул.,на Салтівку,Київ.,●,,
Харківська набережна,Громадянська вул. (міст Чигирина),"Харківська наб., 3",Харківська наб.,до просп. Московського,Київ.,●,,
майдан Фейєрбаха,Ж/Д Академія,"Фейєрбаха м-н, 7",Фейєрбаха пров.,до просп. Московського,Моск.,●,,
майдан Фейєрбаха,Ж/Д Академія,"Фейєрбаха м-н, 8",Фейєрбаха пров.,до вул. Шевченка,Моск.,●,,
вулиця Руставелі,м-н Руднєва,"Руднєва м-н, 21/7",Руднєва м-н,до просп. Московського,Червзв.,●,,
майдан Руднєва,м-н Руднєва,"Руднєва м-н, 12",Руднєва м-н,до вул. Плеханівської,Червзв.,●,,
вулиця Жилярді,вул. Жилярді,"Саперна вул., 49",Саперна вул.,до вул. Старо-шишківської,Київ.,●,,
вулиця Саперна,"вул. Саперна, 20","Саперна вул., 20",Саперна вул.,до вул. Шевченка,Київ.,●,,
вулиця Роменська,"кафе ""БАЛИ""","Саперна вул., 16",Саперна вул.,до вул. Старо-шишківської,Київ.,●,,
вулиця Роменська,"кафе ""БАЛИ""","Саперна вул., 16",Саперна вул.,до вул. Шевченка,Київ.,●,,
в'їзд Жилярді 3-й ,2-й в'їзд Жилярді,"Жилярді 3-й в-д, 2а",Шишківська вул.,до вул. Шевченка,Київ.,●,,
вулиця Шишківська ,вул. Старошишківська,"Шишківська вул., 20",Шишківська вул.,кінцева,Київ.,●,,
вулиця Старошишківська ,вул. Старошишківська,"Старошишківська вул., 8",Старошишківська вул.,кінцева,Київ.,●,,
вулиця Квітуча ,вул. Командарма Уборевича,"Уборевіча вул., 1а",Корка вул.,вул. Дружби Народів,Моск.,●,,
вулиця Ужвій,вул. Наталії Ужвій,Корка вул.,Корка вул.,до окружної дороги,Київ.,●,,
Північна Салтівка,Північна Салтівка (Командарма Корка),"Ужвій вул., 92",Ужвій вул.,висадка,Київ.,●,,
Північна Салтівка,Північна Салтівка (Командарма Корка),"Ужвій вул., 92",Ужвій вул.,висадка,Київ.,●,,
17-е міське кладовище,17-е міське кладовище,Циркунівська сільрада,-,кінцева,-,●,,
П'ятихатки,БАМ,"Курчатова просп., 4б",Курчатова просп.,кінцева,Київ.,●,,
вулиця Академічна,УФТИ,"Академічна вул., 3",Академічна вул.,до вул. Синельникова,Київ.,●,,
проспект Курчатова,Будинок побуту,"Курчатова просп., 7",Курчатова просп.,до БАМу,Київ.,●,,
вулиця Вальтера,Будинок побуту,"Вальтера вул., 4",Вальтера вул.,до Лісопарку,Київ.,●,,
вулиця Гаркуші,Білгородське шосе,"Курчатова просп., 21",Курчатова просп.,до Лісопарку,Київ.,●,,
вулиця Проскури,Білгородське шосе,"Проскури вул., 1",Білгородське шосе,на П'ятихатки,Київ.,●,,
вулиця Проскури,Білгородське шосе,"Проскури вул., 1",Білгородське шосе,до центру,Київ.,●,,
Лісопарк,Лісопарк,"Білгородське шосе, 8",Білгородське шосе,кінцева,Київ.,●,,
"вулиця Дружби Народів (мікрорайон ""Північна-5"")","Універсам ""Ярославна""","Дружби Народів вул., 267",Дружби Народів вул.,до центру,Київ.,●,,
"вулиця Дружби Народів (мікрорайон ""Північна-5"")","Універсам ""Ярославна""","Дружби Народів вул., 267",Дружби Народів вул.,висадка,Моск.,●,,
вулиця Гвардійців-Широнінців,вул. Гвардійців-Широнінців,"Гвардійців-Широнінців вул., 109",Дружби Народів вул.,"до ст. м. ""Героїв Праці""",Київ.,●,,
вулиця Гвардійців-Широнінців,вул. Гвардійців-Широнінців,"Дружби Народів вул., 249",Дружби Народів вул.,до м/р «Північна-5»,Моск.,●,,
вулиця Корка,вул. Командарма Корка,Дружби Народів вул.,Дружби Народів вул.,до вул. Дружби Народів,Моск.,●,,
вулиця Корка,вул. Командарма Корка,Дружби Народів вул.,Дружби Народів вул.,"до ст. м. ""Героїв Праці""",Київ.,●,,
"мікрорайон ""Північна-2""",маг. Посад,"Дружби Народів вул., 238",Дружби Народів вул.,до м/р «Північна-5»,Моск.,●,,
"мікрорайон ""Північна-1""",маг. Посад,"Дружби Народів вул., 231",Дружби Народів вул.,"до ст. м. ""Героїв Праці""",Київ.,●,,
вулиця Бажанова,вул. Маршала Бажанова,"Бажанова вул., 21/23",Бажанова вул.,до центру,Київ.,●,,
вулиця Весніна,вул. Весніна,"Пушкінська вул., 102",Пушкінська вул.,до 13 кладовища,Київ.,●,,
вулиця Весніна,вул. Весніна,"Пушкінська вул., 85",Пушкінська вул.,"до ст. м. ""Пушкінська""",Київ.,●,,
Спорткомплекс юридичної академії,Спорткомплекс,"Пушкінська вул., 104",Пушкінська вул.,до 13 кладовища,Київ.,●,,
Спорткомплекс юридичної академії,Спорткомплекс,"Пушкінська вул., 104",Пушкінська вул.,"до ст. м. ""Пушкінська""",Київ.,●,,
Інститут прокуратури ,Інститут прокуратури,"Пушкінська вул., 106",Пушкінська вул.,до 13 кладовища,Київ.,●,,
Інститут прокуратури,Інститут прокуратури,"Пушкінська вул., 106",Пушкінська вул.,"до ст. м. ""Пушкінська""",Київ.,●,,
13-е міське кладовище ,13 міське кладовище,"Пушкінська вул., 108",Пушкінська вул.,кінцева,Київ.,●,,
Піски,Піски,"Героїв Праці вул., 9",Героїв Праці вул.,до Гідропарку,Київ.,,,●
Піски,Піски,"Героїв Праці вул., 9",Героїв Праці вул.,на Салтівку,Київ.,,,●
"станція метро ""Героїв Праці""","ст.м ""Героїв Праці"" (ТРЦ «Дафі»)","Героїв Праці вул., 9",Героїв Праці вул.,посадка/висадка,Київ.,●,,
Мойсеївський міст,Мойсеївський міст,"Мойсеївська вул., 34",Віринська вул.,до 15 лікарні,Київ.,,,●
вулиця Матюшенка,"ст. м. ""Київська""","Шевченка вул., 167",Шевченка вул.,до 15 лікарні,Київ.,,,●
вулиця Державінська,вул. Державінська,"Гагаріна просп., 43/2",Гагаріна просп.,до центру,Комінт.,●,●,
провулок Золотий,пров. Золотий,"Гагаріна просп., 115",Гагаріна просп.,до центру,Комінт.,●,●,
вулиця Сидоренківська,"вул. Сидоренківська, 13-а лікарня","Гагаріна просп., 127а",Гагаріна просп.,до центру,Комінт.,●,●,
вулиця Каштанова,"вул. Каштанова, Школа","Гагаріна просп., 157",Гагаріна просп.,до центру,Комінт.,●,●,
вулиця Зернова,вул. Зернова,"Гагаріна просп., 157/6",Гагаріна просп.,до центру,Комінт.,●,●,
вулиця Одеська,вул. Одеська,"Гагаріна просп., 177",Гагаріна просп.,до центру,Комінт.,●,●,
вулиця Червоної Зірки,"вул. Червоної зірки, Дитячій санаторій","Гагаріна просп., 187",Гагаріна просп.,до центру,Комінт.,●,●,
